Marca,Modelo,Anio,Kilometraje,Ciudad,Precio
Chevrolet,Aveo Emotion,2009,253000,Ibarra,7000
Kia,Picanto,2019,89544,Quito,10990
Toyota,Fortuner,2020,69000,Guayaquil,69000
Chevrolet,Optra,2006,181500,Esmeraldas,3500
Chevrolet,Luv,2004,514000,Ibarra,8000
Renault,Duster,2015,275000,Samborondon,11600
Chery,Q,2019,75000,Guayaquil,3500
Hyundai,Tucson,2009,191000,Ibarra,9900
Toyota,Land Cruiser S.Wagon,2001,177000,Ibarra,12500
Nissan,Sentra,2008,630000,Quito,5500
Kia,Rio,2020,53000,Guayaquil,14000
Mazda,3 Hatchback,2007,199000,Ibarra,8000
Suzuki,Forsa,2016,100000,Quito,11900
Nissan,Sentra,2013,203000,Ibarra,8500
Chevrolet,Tracker,2014,213000,Ibarra,12900
Kia,Picanto,2010,185000,Esmeraldas,2500
Toyota,Rav4,1998,270000,Cuenca,11500
Renault,Stepway,2023,41000,Ibarra,15000
King Long,Kingwin,2020,350000,Guayaquil,16500
Ford,Fiesta Hatchback,2004,330000,Quito,4800
Great Wall,M4,2013,113700,Guayaquil,7900
Volkswagen,Jetta,2008,188000,Ibarra,7500
Ford,Explorer,2014,159000,Ibarra,23900
Mitsubishi,ASX,2011,327000,Quito,14000
Chevrolet,Sail Sedán,2020,18500,Quito,12500
Mazda,CX-5,2019,56000,Ibarra,26000
Kia,Gran Carnival,2013,201900,Quito,14500
Chery,QQ311,2013,146000,Manta,4800
Chery,Practivan Karry,2019,89500,Jipijapa,8500
Jeep,Wrangler,2017,67000,Ibarra,75000
Hyundai,Tucson,2022,30000,Ibarra,28900
Chevrolet,Spark GT,2020,90000,Ibarra,11900
Chevrolet,Tracker,2021,54000,Ibarra,18500
Chevrolet,Spark GT,2020,91000,Ibarra,11000
Renault,Sandero,2011,270000,Quito,8600
Nissan,Tiida Sedan,2012,115000,Guayaquil,11500
Chevrolet,Sail Sedán,2018,102000,Ibarra,11000
Chevrolet,Grand Vitara,1998,517000,Ibarra,75000
Chevrolet,Optra,2009,258000,Ibarra,7000
Hyundai,Grand i10,2019,114000,Ibarra,11500
Chevrolet,Grand Vitara,2016,56000,Ibarra,14000
Chevrolet,D-Max,2015,206000,Ibarra,17000
Chevrolet,Corsa Sedán,2006,318000,Ibarra,6900
Honda,Civic,2009,167000,Ibarra,10000
FAW,R7,2019,75000,Machala,10000
Mazda,2 Sedan,2020,68000,Quito,15300
Chevrolet,Sail Sedán,2017,32000,Quito,13500
Volkswagen,Amarok,2017,89000,Guayaquil,20000
Kia,Picanto,2020,65000,Guayaquil,12000
Great Wall,C30,2018,140000,Guayaquil,12000
Chevrolet,Sail Hatchback,2019,80000,Santo Domingo,10500
Hyundai,Excel,2010,789345,Manta,8300
Volkswagen,Jetta,2006,169000,Quito,6800
Volkswagen,Polo,2018,64000,Ibarra,14000
Mazda,CX-5,2022,36000,Ibarra,31900
Chevrolet,Aveo Emotion,2011,352000,Guayaquil,5000
Mazda,CX-5,2019,56000,Ibarra,29500
Jeep,Grand Cherokee,2014,152000,Ibarra,31800
Chevrolet,Sail Sedán,2017,94300,Guayaquil,10300
Chevrolet,D-Max,2007,422000,Ibarra,11000
Chevrolet,Spark,2015,180000,Quito,8200
Chevrolet,HHR,2008,201000,Quito,13500
Nissan,Tiida Sedan,2013,400000,Quito,29000
Chevrolet,Captiva,2020,64600,Quito,17990
Chevrolet,Spark GT,2022,26000,Guayaquil,13000
Chevrolet,Aveo Family,2012,89100,Guayaquil,7200
Mazda,BT-50,2008,345000,Guayaquil,9000
Kia,Sportage,2015,103000,Quito,15500
Chevrolet,Captiva,2000,156000,Guayaquil,14550
Citroën,C-Elysée,2017,129700,Guayaquil,11500
Kia,Rio,2020,124000,Quito,14300
Hyundai,Santa Fe,2019,93000,Guayaquil,31000
Kia,Seltos,2021,59000,Guayaquil,19900
Kia,Stylus LSX,2010,324000,Guayaquil,9000
Chevrolet,Cheyenne,1995,380,Latacunga,5500
Soueast,DX3,2023,16000,Quito,16000
Chevrolet,Corsa Sedán,2006,235000,Quito,6000
Kia,Rio,2019,86400,Cuenca,16900
BMW,Serie 5,1993,5000,Ambato,9300
Chevrolet,Blazer RS,2022,22500,Guayaquil,55000
Ford,F150,2021,95500,Guayaquil,49500
Lifan,320,2010,200000,Guayaquil,4800
Hyundai,Tucson,2009,242000,Ibarra,11500
Chevrolet,Grand Vitara,2011,150000,Mejia,11000
Nissan,Kicks,2021,70000,Cuenca,19500
Chevrolet,Aveo Family,2014,200000,Guayaquil,9200
Chevrolet,Aveo Family,2018,315779,Portoviejo,30000
Great Wall,Wingle 7,2022,36500,Quito,19500
Jetour,X70,2022,20700,Quito,18700
Hyundai,Accent,2013,286000,Loja,10800
Great Wall,C30,2020,54300,Ambato,11500
Kia,Gran Carnival,2007,274000,Guayaquil,9000
Jeep,Compass,2018,55000,Quito,27000
Renault,Logan,2012,164000,Duran,9000
Great Wall,Wingle 7,2022,51266,Guayaquil,20600
Chevrolet,Sail Sedán,2019,213381,Guayaquil,14000
Nissan,X-Trail,2014,160000,Rumiñahui,18000
Hyundai,Tucson,2015,217000,Santo Domingo,19999
Chevrolet,Onix Sedán,2021,45000,Guayaquil,16000
Chevrolet,Grand Vitara,2019,75000,Quito,18500
Ford,Ranger,2019,111000,Riobamba,27000
Nissan,Sentra,2007,320000,Manta,4300
Renault,Duster,2014,93000,Guayaquil,12700
Volkswagen,Jetta,2013,130000,Samborondon,13000
Dongfeng,560,2022,64000,Samborondon,14500
Chevrolet,Joy,2023,28180,Samborondon,12400
Peugeot,301,2020,128000,Duran,12300
Toyota,Rush,2022,60000,Daule,23000
Chevrolet,Luv,2005,151928,Guayaquil,8000
Shineray,X30 Cargo,2022,60000,Quito,11600
FAW,Actis Van,2019,70000,Guayaquil,10500
Changan,Hunter,2022,48000,Ambato,18000
JAC,T6,2019,145000,Daule,16000
Hyundai,Santa Fe,2012,120000,Guayaquil,15000
Renault,Koleos,2010,212000,Guayaquil,10500
Chevrolet,Captiva,2020,51000,Esmeraldas,23000
Chevrolet,Spark GT,2019,68000,Quito,12000
Hyundai,Terracan,2006,350000,Salinas,10000
Hyundai,Terracan,2004,420000,Manta,9000
Chevrolet,Trailblazer,2018,121000,Guayaquil,32500
Soueast,DX7,2019,40000,Quito,17500
Mitsubishi,Montero,2002,512012,Guayaquil,8000
Audi,Q5,2015,38500,Samborondon,29000
Audi,Q5,2015,119000,Rumiñahui,27800
Nissan,Versa,2019,230000,Guayaquil,14001
Kia,Cerato,2016,160,Manta,12500
Toyota,Hilux,2020,73000,Quito,27900
FIAT,500,2018,45000,Quito,18400
Toyota,Corolla,2009,121000,Esmeraldas,4500
Audi,Q5,2015,119000,Quito,27400
JMC,Landwind,2019,61500,Guayaquil,15000
Chery,Practivan Karry,2020,73000,Guayaquil,11000
Kia,Picanto,2018,94000,Ambato,11500
Chevrolet,N300,2018,55170,Guayaquil,12000
Renault,Logan,2007,140000,Guayaquil,5900
Chevrolet,Tracker,2020,45000,Antonio Ante(Atuntaqui),18000
Kia,Rio 5,2020,41000,Santo Domingo,15300
Chevrolet,Grand Vitara,2011,131000,Guayaquil,14200
Hyundai,Santa Fe,2011,215000,Quito,10500
Chevrolet,Cruze,2017,50000,Loja,17500
Changan,CS15,2023,24000,Ambato,13800
Hyundai,Matrix,2007,320000,Guayaquil,8300
Chevrolet,Grand Vitara,2015,68000,Quito,18000
Chevrolet,Aveo Emotion,2012,282349,Pasaje,7200
Toyota,Corolla,2006,200000,Guayaquil,12000
Ford,Edge,2013,198000,Quito,198000
Chevrolet,Spark,2007,172506,Guayaquil,4850
Chevrolet,Corsa Familiar,2002,150000,Yantzaza,4800
Chevrolet,D-Max,2015,306565,Guayaquil,16800
Nissan,X-Trail,2019,62000,Machala,27000
Chevrolet,Sail Sedán,2018,205000,Guayaquil,11000
Ford,Escape,2010,150000,Quito,13000
SsangYong,Korando,2008,239000,Rumiñahui,9500
SsangYong,XLV,2019,35000,Quito,19500
BMW,X5,2006,20600,Guayaquil,13000
Mazda,CX-3,2019,55000,Guayaquil,19000
Renault,Logan,2020,130,Quevedo,10000
FIAT,Uno,1990,100000,Guayaquil,3800
Mitsubishi,Montero,1992,246000,Loja,8500
Chevrolet,Grand Vitara,2016,89000,Quito,16000
JAC,T6,2019,50000,Guayaquil,16480
Kia,Sportage,2015,178000,Quito,14500
Mazda,BT-50,2016,106000,Guayaquil,15500
Ford,F150,2010,230000,Manta,14000
Chery,Practivan Cargo,2012,200000,Esmeraldas,6000
Mazda,BT-50,2015,153000,Rumiñahui,15000
UAZ,Patriot,2019,40777,Quito,20000
Kia,Niro,2019,96000,Guayaquil,16500
Chery,Tiggo 2 PRO,2023,46500,Quito,17500
Nissan,Sentra,1996,250000,Guayaquil,4500
Kia,Sportage R,2014,138000,Nobol (Narcisa De Jesus),18800
Ford,Escape,2013,235000,Guayaquil,12800
Toyota,Yaris,2019,32000,Guayaquil,17499
Ford,F150,2012,148000,Guayaquil,17500
Great Wall,H5,2015,158815,Quito,12500
DFSK,560,2023,28000,Quito,16800
Hyundai,Grand i10,2022,28000,Quito,14600
Renault,Duster,2022,62000,Milagro,17590
Chevrolet,Sail Sedán,2014,170000,Quito,8900
Domy,X7,2018,16400,Santo Domingo,17500
JAC,JS5,2020,22700,Loja,19500
Kia,Sportage,2015,130107,Guayaquil,15000
Kia,Sportage R,2019,78900,Quito,22500
Kia,Carens,2023,21000,Quito,26500
Chevrolet,Corsa Sedán,2006,285000,Ibarra,6800
Mazda,3 Sedán,2008,152000,Santo Domingo,8000
Land Rover,Range Rover Evoque,2012,90000,Guayaquil,37000
Toyota,Corolla,1999,360000,Quito,5200
Ford,F150,2015,243301,Guayaquil,32500
Mazda,2200,1997,350805,Giron,8000
Great Wall,C30,2019,79000,Quito,12499
Chevrolet,Tracker,2018,45000,Quito,16900
BMW,M2 Coupé,2023,700,Quito,92900
Chevrolet,Grand Vitara,2007,191000,Loja,11500
Chevrolet,N300,2012,222000,Guayaquil,4200
Chery,Tiggo 8,2023,30000,Guayaquil,21000
Ford,Ecosport,2006,280000,Santa Elena,7200
Renault,Logan,2011,184414,Ibarra,7400
Great Wall,H3,2018,102000,Rumiñahui,15800
Chevrolet,N300,2015,165025,Daule,9000
Renault,Stepway,2021,46000,Quito,15000
